"Designator","Mid X","Mid Y","Layer","Rotation"
"C202","118.618mm","-142.621mm","top","270.0"
"J101","101.799201mm","-125.476mm","top","0.0"
"C201","126.365mm","-129.667mm","top","90.0"
"C101","114.1857mm","-121.3866mm","top","90.0"
"Q101","116.967mm","-133.7974mm","top","180.0"
"C102","118.8212mm","-120.9929mm","top","90.0"
"R101","112.9999mm","-131.2066mm","top","180.0"
"R102","118.2577mm","-129.8604mm","top","90.0"
"R103","113.0126mm","-134.4832mm","top","0.0"
"R201","119.507mm","-145.923mm","top","0.0"
"C103","120.015mm","-137.414mm","top","90.0"
"U201","114.808mm","-142.621mm","top","180.0"
